_ - name,_ - _line,_ - retrieved_at,_ - company_number,cp_number_wikidata,_ - current_status,_ - jurisdiction_code,_ - registered_address,street,postal_code,length_str,_ - registered_address 2 2,_ - officers - _ - name,_ - officers - _ - type,_ - officers - _ - position,_ - officers - _ - start_date,_ - officers - _ - end_date,_ - officers - _ - other_attributes - lastname,_ - officers - _ - other_attributes - firstname,_ - officers - _ - other_attributes - city,_ - officers - _ - other_attributes - flag,_ - officers - _ - other_attributes - dismissed,_ - officers - _ - other_attributes - reference_no,_ - officers - _ - other_attributes - title,_ - officers - _ - other_attributes - maidenname,_ - all_attributes - registrar,_ - all_attributes - _registerArt,_ - all_attributes - federal_state,_ - all_attributes - _registerNummer,_ - all_attributes - native_company_number,_ - all_attributes - registered_office,_ - all_attributes - former_registrar,_ - all_attributes - _registerNummerSuffix,_ - all_attributes - additional_data - AD,_ - all_attributes - additional_data - CD,_ - all_attributes - additional_data - DK,_ - all_attributes - additional_data - HD,_ - all_attributes - additional_data - SI,_ - all_attributes - additional_data - UT,_ - all_attributes - additional_data - VÖ,_ - all_attributes - additional_data - ,_ - all_attributes - additional_data - Status information,_ - all_attributes - additional_data - Note:,_ - previous_names - _ - company_name,_ - subsequent_registrations - _ - data_type,_ - subsequent_registrations - _ - confidence,_ - subsequent_registrations - _ - source_url,_ - subsequent_registrations - _ - start_date,_ - subsequent_registrations - _ - retrieved_at,_ - subsequent_registrations - _ - start_date_type,_ - subsequent_registrations - _ - publication_date,_ - subsequent_registrations - _ - subsequent_registration_start_date,_ - subsequent_registrations - _ - previous_entity - entity_type,_ - subsequent_registrations - _ - previous_entity - entity_properties - company_number,_ - subsequent_registrations - _ - previous_entity - entity_properties - jurisdiction_code,_ - subsequent_registrations - _ - subsequent_entity - entity_type,_ - subsequent_registrations - _ - subsequent_entity - entity_properties - company_number,_ - subsequent_registrations - _ - subsequent_entity - entity_properties - jurisdiction_code,_ - alternate_registrations - _ - data_type,_ - alternate_registrations - _ - confidence,_ - alternate_registrations - _ - source_url,_ - alternate_registrations - _ - start_date,_ - alternate_registrations - _ - sample_date,_ - alternate_registrations - _ - retrieved_at,_ - alternate_registrations - _ - start_date_type,_ - alternate_registrations - _ - alternate_entities - _ - entity_type,_ - alternate_registrations - _ - alternate_entities - _ - entity_properties - company_number,_ - alternate_registrations - _ - alternate_entities - _ - entity_properties - jurisdiction_code
HeMi Flachdachsanierung UG (haftungsbeschränkt),4669,2018-11-01T14:18:09Z,D2601V_HRB223633,de/D2601V_HRB223633,currently registered,de,"Auf der Insel 3, RgB., 82140 Olching.",Auf der Insel 3,"RgB.,",5,82140 Olching.,Sieber Helmut,person,Geschäftsführer,2016-02-08,,Helmut,Sieber,Gröbenzell,,,,,,München,HRB,Bavaria,223633,München HRB 223633,Olching,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traydon GmbH,6518,2018-07-25T16:35:56Z,R3306_HRB70932,de/R3306_HRB70932,currently registered,de,"Doctor-Gottfried-Cremer-Allee 20, Halle 7, 50226 Frechen.",Doctor-Gottfried-Cremer-Allee 20,Halle,5,"7, 50226 Frechen.",Nikita Nagel,person,Geschäftsführer,,2018-02-02,Nagel,Nikita,Frechen,,true,,,,Köln,HRB,North Rhine-Westphalia,70932,Köln HRB 70932,Köln,,,true,true,true,false,true,true,true,,,,Triadon GmbH,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Dimitrij Nagel,person,Geschäftsführer,2013-05-14,,Nagel,Dimitrij,Frechen,einzelvertretungsberechtigt mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Nikita Nagel,person,Geschäftsführer,2014-12-18,,Nagel,Nikita,Frechen,einzelvertretungsberechtigt mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Nikita Nagel,person,Geschäftsführer,2012-10-31,,Nagel,Nikita,Köln,mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Nikita Nagel,person,Geschäftsführer,2010-11-30,,Nagel,Nikita,Lindlar,mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gammachim GmbH,6837,2018-11-09T16:56:40Z,D3310V_HRB26866,de/D3310V_HRB26866,currently registered,de,"Rothenburger Straße 243, 2.OG, Zimmer 7+8, 90439 Nürnberg.",Rothenburger Straße 243,"2.OG,",5,"Zimmer 7+8, 90439 Nürnberg.",Eduard Rimmer,person,Geschäftsführer,,2018-02-06,Rimmer,Eduard,Nürnberg,,true,,,,Nürnberg,HRB,Bavaria,26866,Nürnberg HRB 26866,Nürnberg,,,true,true,true,false,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Eduard Rimmer,person,Geschäftsführer,2010-09-29,,Rimmer,Eduard,Nürnberg,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Evgeny Vitaljewitsch Goncharenko,person,Geschäftsführer,2018-02-06,,Goncharenko,Evgeny Vitaljewitsch,Moskau / Russische Föderation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fokus Steuerberatungsgesellschaft mbH,15811,2017-06-19T08:22:43Z,K1101R_HRB95089,de/K1101R_HRB95089,currently registered,de,"Albert-Schweitzer-Ring 22, Hanse Hof Wandsbek /Hs.",Albert-Schweitzer-Ring 22,Hanse,5,Hof Wandsbek /Hs.,Maja Güsmer,person,Geschäftsführer,,2007-12-11,Güsmer,Maja,Hamburg,,true,,,,Hamburg,HRB,Hamburg,95089,Hamburg HRB 95089,Hamburg,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Manuel Goldberg,person,Geschäftsführer,,2008-12-23,Goldberg,Manuel,Hamburg,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Maja Güsmer,person,Geschäftsführer,2007-11-26,,Güsmer,Maja,Hamburg,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Manuel Goldberg,person,Geschäftsführer,2007-12-04,,Goldberg,Manuel,Hamburg,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC - Reederei - Beteiligungs GmbH,16074,2017-06-19T12:51:09Z,K1101R_HRB94949,de/K1101R_HRB94949,currently registered,de,"Gasstraße 4 b, Halle K 5, 22761 Hamburg.",Gasstraße 4 b,Halle,5,"K 5, 22761 Hamburg.",Jörg Heiner Wulff,person,Geschäftsführer,,2008-07-14,Wulff,Jörg Heiner,Seevetal,,true,,,,Hamburg,HRB,Hamburg,94949,Hamburg HRB 94949,Hamburg,,,true,true,true,false,true,true,true,,,,Ownership Fünfte Verwaltung GmbH,,,,,,,,,,,,,,,,,,,,,,,,
